
"KEY","","EN","CN","ZH","JP","KR","TH","IN","RU","AR","DE","ES","IT","FR"
"","","","","","","","","","","","","","",""
"Main Wallet","","","","","","","","","","","","","",""
"bnt_balance","","Balance","余额","餘額","剰余","밸런스","สมดุล","संतुलन","Баланс","توازن","Balance","Equilibrar","Equilibrio","Équilibre"
"bnt_lvsum","","Cap Level","资本级别","資本級別","キャップレベル","캡 수준","ระดับเลเวล","कैप स्तर","Cap Level","كاب مستوى","Cap Level","Límite de nivel","Livello Cap","Cap Niveau"
"bnt_node_num","","Team","团队","團隊","チーム","팀","ทีม","टीम","команда","الفريق","Mannschaft","Equipo","Squadra","Équipe"
"bnt_lvfreeze","","LV Level","LV级别","LV級別","LVレベル","LV 레벨","ระดับเลเวล","LV स्तर","Уровень Л.В.","LV مستوى","LV-Ebene","Nivel LV","Livello LV","LV Niveau"
"bnt_deal","","Deal","成交","成交","対処","거래","จัดการ","सौदा","По рукам","صفقة","Deal","Acuerdo","Affare","Traiter"
"bnt_price_plan","","Price Plan","价格表","價格表","料金プラン","가격 계획","ราคาตามแผน","मूल्य योजना","План Цена","خطة السعر","Preisplan","Plan de precios","Piano Prezzo","plan de prix"
"bnt_share","","Fusion","烈变","烈變","融合","퓨전","การผสม","विलय","сплавление","انصهار","Verschmelzung","Fusión","Fusione","La fusion"
"bnt_welcome","","Welcome","欢迎","歡迎","ようこそ","어서 오십시오","ยินดีต้อนรับ","स्वागत हे","желанный","أهلا بك","Herzlich willkommen","Bienvenidos","benvenuto","Bienvenue"
"bnt_invcode","","Authorized Business Code","专营商业代码","專營商業代碼","認定事業コード","공인 비즈니스 코드","รหัสธุรกิจที่ได้รับอนุญาต","अधिकृत व्यापार संहिता","Авторизованный бизнес-код","كود الأعمال أذن","Autorisierte Geschäfts-Code","Autorizado Código de Negocios","Affari Codice autorizzato","Code de commerce autorisé"
"bnt_bicode","","Business Code","商业代码","商業代碼","ビジネスコード","비즈니스 코드","รหัสธุรกิจ","व्यापार संहिता","Бизнес-код","كود الأعمال","Business-Code","Código de Negocios","Affari Codice","code de Commerce"
"reserve_value","","Reserves","储备金","儲備金","引当金","예비","สำรอง","भंडार","резервы","محميات","Reserve","reservas","riserve","Réserves"
"pv_value","","Platform Value","平台价值","平台價值","プラットフォームの価値","플랫폼 가치","ราคาแพลทฟอร์ม","प्लेटफार्म मूल्य","Платформа Значение","القيمة منصة","Plattform Wert","plataforma Valor","Valore Piattaforma","plate-forme Valeur"
"all_rewards","","Total TRX Reward All Time","所有时间的总TRX奖励","所有時間的總TRX獎勵","総TRX報酬すべての時間","총 TRX 보상 모든 시간","รวม TRX รางวัลตลอดเวลา","कुल TRX इनाम ऑल टाइम","Всего TRX Награда за все время","إجمالي TRX مكافأة كل الوقت","Insgesamt TRX Belohnung Allzeit","TRX total de premios todos los tiempos","Total Reward TRX All Time","Total des TRX Récompense tous les temps"
"pl_value","","Commission Earned","佣金所得","佣金所得","委員会獲得","위원회 적립","คณะกรรมการที่ได้รับ","आयोग अर्जित","Комиссия Заработанные","المكتسبة جنة","Kommission verdient","Comisión del Trabajo","Commissione Earned","Commission Earned"
"liquidity_pool","","Liquidity Pool","流动资金池","流動資金池","流動性プール","유동성 풀","สภาพคล่องสระว่ายน้ำ","लिक्विडिटी पूल","Ликвидность бассейн","بركة السيولة","Liquidity Pool","liquidez piscina","Liquidity Pool","Piscine de liquidité"
"insur_bal","","Insurance balance","保险余额","保險餘額","保険のバランス","보험 균형","ยอดเงินประกัน","बीमा संतुलन","Страховой баланс","التوازن التأمين","Versicherungen Balance","balance de Seguros","equilibrio Assicurazione","assurance solde"
"mining_earn","","Consensus Production","共识产量","共識產量","バラの生産高","장미 생산량","การผลิตฉันทามติ","आम सहमति उत्पादन","производство консенсус","توافق الإنتاج","Konsens Produktion","consenso de Producción","consenso Produzione","La production de consensus"
"bnt_confirm","","I confirm and sign","我确认并签字","我確認並簽字","確認して署名します","내가 확인 및 서명","ผมยืนยันและเข้าสู่ระบบ","मैं इस बात की पुष्टि और संकेत","Подтверждаю и знак","تأكيد الأول وعلامة","Ich bestätige und Zeichen","confirman I y signo","Confermo e segno","Je confirme et signe"
"bnt_boardcast","","Sign & commit transaction...","签署并提交交易...","簽署並提交交易...","トランザクションに署名してコミットします。","가입 및 트랜잭션을 커밋 ...","เข้าสู่ระบบและการกระทำธุรกรรม ...","साइन इन करें और लेन-देन के लिए प्रतिबद्ध ...","Войти и совершить сделку ...","توقيع وارتكاب المعاملة ...","Sign & Transaktionscommit ...","Firmar y confirmar la transacción ...","Iscriviti e commit delle transazioni ...","Sign & validation de la transaction ..."
